date,top5_realized_return,portfolio_return_after_cost,benchmark_return,equity,benchmark_equity,drawdown
2025-03-10,0.038298212974198886,0.007059642594839778,0.0002922449468688161,10821089.37376278,10479112.851850009,-0.03255987596822074
2025-03-11,0.008530323637285075,0.001106064727457015,-0.0007195348784934377,10833058.199031759,10471572.764657434,-0.03148982457110261
2025-03-12,0.012279202204719186,0.0018558404409438373,-0.0012276638646386612,10853162.62653662,10458717.19316833,-0.029692424220076008
2025-03-13,0.0011094381578243607,-0.0003781123684351279,0.0010140242659529022,10849058.91151089,10469322.58619294,-0.0300593095156646
2025-03-14,0.010355262635734297,0.0014710525271468594,0.0007542765885649159,10865018.447039833,10477219.351117838,-0.028632475811745106
2025-03-17,0.014435541715126177,0.0022871083430252353,-0.000268302964219454,10889867.92137718,10474408.282109156,-0.02641085304303048
2025-03-18,0.04081642953109441,0.007563285906218882,0.0006113698333670168,10972231.105947517,10480812.019355208,-0.01904731996940323
2025-03-19,0.005031012466889306,0.0004062024933778612,-0.0002247091217280894,10976688.053580672,10478456.885291342,-0.01864885454488907
2025-03-20,0.026772715346090315,0.0047545430692180635,-0.0010971430798077956,11028877.18968879,10466960.51883258,-0.013982978257796375
2025-03-21,0.04398418537090008,0.008196837074180017,-0.0022694997473118625,11119279.099123811,10443205.754579965,-0.0059007573782071665
2025-03-24,-0.023327687453466472,-0.005265537490693295,-0.004502252247799522,11060730.118157893,10396187.807997175,-0.011135224209702033
2025-03-25,-0.037143767609649256,-0.008028753521929851,-0.003813822163795492,10971926.242266618,10356538.596516054,-0.019074575761040657
2025-03-26,0.0018910546917900062,-0.0002217890616419988,-0.002245997485919725,10969492.78904094,10333277.83686545,-0.019292134290423424
2025-03-27,-0.06167519418338878,-0.012935038836677756,-0.014901660950454419,10827601.973796038,10179294.834033635,-0.031977628620812215
2025-03-28,-0.037528198322674865,-0.008105639664534973,-0.01946405693997374,10739837.33376544,9981164.459775222,-0.03982406915042058
2025-03-31,-0.12218811151228728,-0.025037622302457457,-0.029234403513060628,10470937.34301279,9689371.070427934,-0.06386459145094281
2025-04-01,-0.16344125874397533,-0.03328825174879507,-0.03706786052348716,10122378.144692719,9330206.815028999,-0.09502690260168511
2025-04-02,-0.0991052422275059,-0.020421048445501182,-0.02493795984437888,9915668.570216266,9097530.492136056,-0.11350740206553134
2025-04-03,0.0754405809187699,0.014488116183753981,-0.0060910403354574,10059327.928501157,9042117.0669554,-0.10066379431061889
2025-04-04,0.05980112474955546,0.011360224949911093,0.0036975345514631795,10173604.156613855,9075550.607228843,-0.09044713270838789
2025-04-07,0.0881339132842546,0.01702678265685092,0.015615347550817527,10346827.903425353,9217268.484175757,-0.07496037372209818
2025-04-08,0.14269016080643188,0.027938032161286378,0.014992339812033743,10635897.914158545,9355456.905429268,-0.049116586892681835
2025-04-09,0.158237267356024,0.031047453471204804,0.018036395547175184,10966115.459772868,9524195.626700142,-0.01959407836769189
2025-04-10,0.0387345093799585,0.007146901875991701,0.0070921496077559695,11044489.21092466,9591742.646978235,-0.01258721344714453
2025-04-11,-0.07089400156322805,-0.014778800312645609,-7.069155152437907e-05,10881264.910321238,9591064.591808697,-0.027179989845761976
