model_family,model_version,date,mode,top_k,long_symbols,long_realized_return,short_symbols,short_realized_return,gross_period_return,turnover,transaction_cost,period_return_after_cost,benchmark_equal_weight_return,equity,benchmark_equity,drawdown
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-07-10,long-only,5,"HCM,TSM,SSI,005930.KS,VCG",0.05950815157361515,,,0.05950815157361515,1.9999999999999998,0.0029999999999999996,0.05650815157361515,0.02691807608103844,15292370.237957709,11730637.787343327,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-07-17,long-only,5,"GMD,SSI,BCM,VIC,HPG",0.0013407176412479683,,,0.0013407176412479679,1.5999999999999999,0.0024,-0.001059282358752032,0.03242808108895488,15276171.299941134,12111039.860736454,-0.0010592823587521893
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-07-24,long-only,5,"VIX,005930.KS,CTS,HPG,AGG",0.09854113833521483,,,0.09854113833521483,1.5999999999999999,0.0024,0.09614113833521483,0.012212164024974175,16744839.798121214,12258941.866028767,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-07-31,long-only,5,"SSB,VPB,VIX,PET,VIC",0.03189827652479471,,,0.03189827652479471,1.5999999999999999,0.0024,0.02949827652479471,0.04228896213577881,17238783.71284958,12777359.79442597,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-08-07,long-only,5,"PET,VIC,GEX,VIX,PC1",0.04848635961983827,,,0.04848635961983827,0.8,0.0012000000000000001,0.04728635961983827,0.047704742439055786,18053943.038903996,13386900.452470208,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-08-14,long-only,5,"MBB,GEX,DPM,VSC,KDH",0.007377524003456815,,,0.007377524003456814,1.5999999999999999,0.0024,0.0049775240034568135,0.0009888452798744326,18143806.973737184,13400138.025794784,0.0
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-08-21,long-only,5,"PDR,VIX,DPM,VIB,CII",-0.005364616438200942,,,-0.00536461643820094,1.5999999999999999,0.0024,-0.007764616438200939,-0.0025578204804726883,18002927.27185736,13365862.878311245,-0.007764616438201033
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-08-28,long-only,5,"MSB,LPB,VIC,VDS,CII",-0.05471710070551461,,,-0.05471710070551461,1.5999999999999999,0.0024,-0.05711710070551461,-0.0266808801917237,16974652.261876628,13009249.892196016,-0.06443822476467509
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-09-04,long-only,5,"VIC,VDS,VIX,KBC,LPB",-0.024403823981967367,,,-0.024403823981967367,0.8,0.0012000000000000001,-0.025603823981967366,-0.03145778781395635,16540036.253208434,12600007.66946858,-0.08839218378205727
Hybrid xLSTM Direction-Excess Blend,return_direction_excess_top5_v1,2025-09-11,long-only,5,"GOOGL,BMP,TSM,HHV,AAPL",0.029020755492707682,,,0.029020755492707682,1.9999999999999998,0.0029999999999999996,0.026020755492707683,0.009580617629749365,16970420.49239369,12720723.525081666,-0.06467145969100907
